time,branch-misses,branch-instructions,LLC-load-misses,L1-dcache-load-misses,instructions,label,program
0.594957926,5276,720766,35815,88981,4148803,1,fallout
0.60519865,5250,713729,35616,87638,4109335,1,fallout
0.615448775,5325,713853,35463,89916,4105380,1,fallout
0.625698277,5532,719293,35879,90351,4142049,1,fallout
0.635940521,5469,732244,36102,92719,4204200,1,fallout
0.646197684,5501,725114,35966,92499,4167865,1,fallout
0.656445774,5328,717049,35628,91089,4122339,1,fallout
0.666698439,5434,733919,36273,93379,4214646,1,fallout
0.676951934,5431,723059,35959,91231,4159340,1,fallout
0.687193963,5430,737007,36445,91026,4233381,1,fallout
0.69743608,5379,724488,35888,89959,4164574,1,fallout
0.707683363,5294,712987,35427,88609,4096978,1,fallout
0.717935075,5396,715446,35388,88595,4107877,1,fallout
0.728185592,5315,718631,35454,89339,4128648,1,fallout
0.73843273,5317,715787,35414,89364,4111833,1,fallout
0.748682471,5284,715793,35560,89929,4115465,1,fallout
0.758928294,5433,716837,35502,89912,4120453,1,fallout
0.769190444,5289,719524,35693,89620,4134629,1,fallout
0.779437437,5342,717388,35442,90487,4121326,1,fallout
0.789679332,5355,726369,35953,90858,4172249,1,fallout
0.799928232,5298,718529,35535,90344,4128040,1,fallout
0.810186515,5373,715565,35461,89997,4114280,1,fallout
0.82043921,5363,716138,35353,90030,4112285,1,fallout
0.830691738,5412,727437,35998,92008,4178140,1,fallout
0.840937871,5211,714763,35402,88781,4108650,1,fallout
0.85119324,5321,726639,35946,90878,4172701,1,fallout
0.861435859,5309,716543,35630,89017,4121894,1,fallout
0.871685591,5397,720801,35567,89912,4139965,1,fallout
0.881927762,5374,735810,36528,92284,4228753,1,fallout
0.892168472,5504,734732,36427,92004,4224529,1,fallout
0.902411136,5431,734285,36428,93678,4218919,1,fallout
0.912658883,5471,727938,35952,90528,4178183,1,fallout
0.922900788,5409,722069,35705,89677,4150650,1,fallout
0.933160458,5565,728794,36124,91846,4185054,1,fallout
0.943417658,5486,731454,35775,92754,4192700,1,fallout
0.953658497,5274,714007,35437,91017,4100370,1,fallout
0.963905918,5426,728928,35715,94138,4176664,1,fallout
0.974146653,5338,720898,35541,93272,4137206,1,fallout
0.984396186,5383,717567,35461,91141,4117553,1,fallout
0.994643315,5395,728679,35925,92533,4182210,1,fallout
0.410370061,5044,669440,36320,88044,3885949,1,fallout
0.42071671,6307,713317,35971,88695,4112917,1,fallout
0.430977572,5497,715094,35837,89272,4119412,1,fallout
0.441229019,5313,707394,35758,88245,4081147,1,fallout
0.451480395,5422,717756,36013,90163,4139130,1,fallout
0.461732484,5303,714725,35749,89858,4116437,1,fallout
0.471981737,5373,712522,35647,89912,4104288,1,fallout
0.482228027,5089,716153,35576,90205,4121280,1,fallout
0.492476063,5155,711761,35792,88787,4097317,1,fallout
0.502738565,5223,717213,35809,89438,4123983,1,fallout
0.512988125,5648,726713,36265,90324,4183497,1,fallout
0.523237965,5340,726429,36244,89697,4181013,1,fallout
0.533485555,5178,721292,35920,89054,4152988,1,fallout
0.543748065,5345,718398,35672,89652,4131465,1,fallout
0.553994986,5104,712382,35635,88566,4102600,1,fallout
0.564249975,5225,720027,35695,90543,4140519,1,fallout
0.574499583,5278,714280,35608,89218,4109711,1,fallout
0.584751425,5170,716224,35604,89405,4122465,1,fallout
0.595002948,5112,716988,35594,89040,4125017,1,fallout
0.605214132,5126,711942,35450,88857,4096436,1,fallout
0.615464927,5262,715537,35573,90086,4117879,1,fallout
0.625716133,5388,719387,35577,90616,4130794,1,fallout
0.635964349,5495,730883,36242,92847,4197343,1,fallout
0.646206789,5366,739757,36571,93429,4252242,1,fallout
0.656448557,5291,735615,36637,92533,4229621,1,fallout
0.666689507,5418,738824,36576,93037,4245857,1,fallout
0.676943646,5528,737130,36687,93926,4237387,1,fallout
0.687187448,5419,736630,36610,93949,4233674,1,fallout
0.697429833,5538,742747,36666,94817,4265269,1,fallout
0.707674685,5343,738606,36648,92386,4244140,1,fallout
0.717917333,5316,737755,36670,92959,4243657,1,fallout
0.728157948,5413,736428,36626,91885,4232922,1,fallout
0.738398361,5379,739010,36622,93518,4244357,1,fallout
0.748641215,5338,739059,36573,93110,4246372,1,fallout
0.758881313,5236,736394,36719,94296,4234358,1,fallout
0.769125294,5435,741133,36570,93056,4253910,1,fallout
0.779365861,5336,736418,36638,93048,4237588,1,fallout
0.789608825,5287,736439,36597,92162,4232528,1,fallout
0.799848028,5317,739715,36606,93099,4251370,1,fallout
0.810102402,5344,740199,36743,93160,4253917,1,fallout
0.820359609,5381,738443,36711,92858,4242065,1,fallout
0.830599621,5530,743514,36669,92680,4269044,1,fallout
0.84084085,5325,733865,36693,91393,4222576,1,fallout
0.851080725,5381,741263,36558,91793,4257325,1,fallout
0.861321566,5343,736648,36652,92889,4234513,1,fallout
0.871561454,5246,736734,36540,91678,4234324,1,fallout
0.881803609,5375,735356,36624,90716,4231190,1,fallout
0.892045315,5380,742286,36668,92670,4259962,1,fallout
0.902284899,5388,735486,36606,91050,4231071,1,fallout
0.912526033,5568,740400,36582,92002,4249373,1,fallout
0.922768671,5287,738863,36616,93086,4243149,1,fallout
0.933008405,5273,744736,36578,93780,4270439,1,fallout
0.943256922,5282,740744,36673,94356,4251716,1,fallout
0.953497566,5184,741625,36543,92212,4253186,1,fallout
0.963737089,5332,742969,36658,92837,4263934,1,fallout
0.973977609,5290,741647,36539,92728,4253097,1,fallout
0.410366947,4730,659791,36022,88914,3837328,1,fallout
0.42069957,6230,711614,35746,88021,4103459,1,fallout
0.430964707,5529,710922,35545,87571,4098717,1,fallout
0.441215089,5321,707618,35467,86076,4079683,1,fallout
0.451462148,5320,712342,35467,87464,4104250,1,fallout
0.461711056,5236,709802,35532,85137,4089280,1,fallout
0.471971451,5398,709525,35528,86851,4089675,1,fallout
0.482218293,5309,714041,35489,88784,4110141,1,fallout
0.492465187,5231,710844,35445,87575,4091154,1,fallout
0.502711108,5239,711875,35457,87925,4096877,1,fallout
0.512974643,5386,712709,35544,87461,4103755,1,fallout
0.523222375,5258,713331,35437,88088,4101921,1,fallout
0.533469551,5259,714162,35490,87242,4109497,1,fallout
0.543731795,5352,714472,35457,87512,4109778,1,fallout
0.553981056,5346,712293,35516,87355,4099295,1,fallout
0.564226539,5278,712300,35443,87379,4100764,1,fallout
0.574473567,5236,716524,35683,87953,4123133,1,fallout
0.584721895,5212,713002,35551,87549,4102975,1,fallout
0.594968665,5142,713584,35473,87226,4106292,1,fallout
0.605217097,5141,711566,35506,86637,4096025,1,fallout
0.615468664,5242,714742,35514,88214,4114121,1,fallout
0.625717553,5431,712914,35439,87274,4099616,1,fallout
